product,process,conjoined_flownames,location
"Transport, combination truck, long-haul, diesel powered, Southwest","Transport, combination truck, long-haul, diesel powered, Southwest@Northern America","Transport, combination truck, long-haul, diesel powered@Transport, combination truck, long-haul, diesel powered, Southwest@Northern America",Northern America
"Transport, combination truck, long-haul, diesel powered, West North Central","Transport, combination truck, long-haul, diesel powered, West North Central@Northern America","Transport, combination truck, long-haul, diesel powered@Transport, combination truck, long-haul, diesel powered, West North Central@Northern America",Northern America
"Transport, combination truck, long-haul, diesel powered, West","Transport, combination truck, long-haul, diesel powered, West@Northern America","Transport, combination truck, long-haul, diesel powered@Transport, combination truck, long-haul, diesel powered, West@Northern America",Northern America
"Transport, combination truck, long-haul, diesel powered","Transport, combination truck, long-haul, diesel powered@Northern America","Transport, combination truck, long-haul, diesel powered@Transport, combination truck, long-haul, diesel powered@Northern America",Northern America
"Transport, combination truck, short-haul, diesel powered, Alaska","Transport, combination truck, short-haul, diesel powered, Alaska@Northern America","Transport, combination truck, short-haul, diesel powered@Transport, combination truck, short-haul, diesel powered, Alaska@Northern America",Northern America
"Transport, combination truck, short-haul, diesel powered, Central","Transport, combination truck, short-haul, diesel powered, Central@Northern America","Transport, combination truck, short-haul, diesel powered@Transport, combination truck, short-haul, diesel powered, Central@Northern America",Northern America
"Transport, combination truck, short-haul, diesel powered, East North Central","Transport, combination truck, short-haul, diesel powered, East North Central@Northern America","Transport, combination truck, short-haul, diesel powered@Transport, combination truck, short-haul, diesel powered, East North Central@Northern America",Northern America
"Transport, combination truck, short-haul, diesel powered, Hawaii","Transport, combination truck, short-haul, diesel powered, Hawaii@Northern America","Transport, combination truck, short-haul, diesel powered@Transport, combination truck, short-haul, diesel powered, Hawaii@Northern America",Northern America
"Transport, combination truck, short-haul, diesel powered, Northeast","Transport, combination truck, short-haul, diesel powered, Northeast@Northern America","Transport, combination truck, short-haul, diesel powered@Transport, combination truck, short-haul, diesel powered, Northeast@Northern America",Northern America
"Transport, combination truck, short-haul, diesel powered, Northwest","Transport, combination truck, short-haul, diesel powered, Northwest@Northern America","Transport, combination truck, short-haul, diesel powered@Transport, combination truck, short-haul, diesel powered, Northwest@Northern America",Northern America
"Transport, combination truck, short-haul, diesel powered, South","Transport, combination truck, short-haul, diesel powered, South@Northern America","Transport, combination truck, short-haul, diesel powered@Transport, combination truck, short-haul, diesel powered, South@Northern America",Northern America
"Transport, combination truck, short-haul, diesel powered, Southeast","Transport, combination truck, short-haul, diesel powered, Southeast@Northern America","Transport, combination truck, short-haul, diesel powered@Transport, combination truck, short-haul, diesel powered, Southeast@Northern America",Northern America
"Transport, combination truck, short-haul, diesel powered, Southwest","Transport, combination truck, short-haul, diesel powered, Southwest@Northern America","Transport, combination truck, short-haul, diesel powered@Transport, combination truck, short-haul, diesel powered, Southwest@Northern America",Northern America
"Transport, combination truck, short-haul, diesel powered, West North Central","Transport, combination truck, short-haul, diesel powered, West North Central@Northern America","Transport, combination truck, short-haul, diesel powered@Transport, combination truck, short-haul, diesel powered, West North Central@Northern America",Northern America
"Transport, combination truck, short-haul, diesel powered, West","Transport, combination truck, short-haul, diesel powered, West@Northern America","Transport, combination truck, short-haul, diesel powered@Transport, combination truck, short-haul, diesel powered, West@Northern America",Northern America
"Transport, combination truck, short-haul, diesel powered","Transport, combination truck, short-haul, diesel powered@Northern America","Transport, combination truck, short-haul, diesel powered@Transport, combination truck, short-haul, diesel powered@Northern America",Northern America
"Transport, combination truck, short-haul, gasoline powered","Transport, combination truck, short-haul, gasoline powered@Northern America","Transport, combination truck, short-haul, gasoline powered@Transport, combination truck, short-haul, gasoline powered@Northern America",Northern America
"Transport, intercity bus, diesel powered, Alaska","Transport, intercity bus, diesel powered, Alaska@Northern America","Transport, intercity bus, diesel powered@Transport, intercity bus, diesel powered, Alaska@Northern America",Northern America
"Transport, intercity bus, diesel powered, Central","Transport, intercity bus, diesel powered, Central@Northern America","Transport, intercity bus, diesel powered@Transport, intercity bus, diesel powered, Central@Northern America",Northern America
"Transport, intercity bus, diesel powered, East North Central","Transport, intercity bus, diesel powered, East North Central@Northern America","Transport, intercity bus, diesel powered@Transport, intercity bus, diesel powered, East North Central@Northern America",Northern America
"Transport, intercity bus, diesel powered, Hawaii","Transport, intercity bus, diesel powered, Hawaii@Northern America","Transport, intercity bus, diesel powered@Transport, intercity bus, diesel powered, Hawaii@Northern America",Northern America
"Transport, intercity bus, diesel powered, Northeast","Transport, intercity bus, diesel powered, Northeast@Northern America","Transport, intercity bus, diesel powered@Transport, intercity bus, diesel powered, Northeast@Northern America",Northern America
"Transport, intercity bus, diesel powered, Northwest","Transport, intercity bus, diesel powered, Northwest@Northern America","Transport, intercity bus, diesel powered@Transport, intercity bus, diesel powered, Northwest@Northern America",Northern America
"Transport, intercity bus, diesel powered, South","Transport, intercity bus, diesel powered, South@Northern America","Transport, intercity bus, diesel powered@Transport, intercity bus, diesel powered, South@Northern America",Northern America
"Transport, intercity bus, diesel powered, Southeast","Transport, intercity bus, diesel powered, Southeast@Northern America","Transport, intercity bus, diesel powered@Transport, intercity bus, diesel powered, Southeast@Northern America",Northern America
"Transport, intercity bus, diesel powered, Southwest","Transport, intercity bus, diesel powered, Southwest@Northern America","Transport, intercity bus, diesel powered@Transport, intercity bus, diesel powered, Southwest@Northern America",Northern America
"Transport, intercity bus, diesel powered, West North Central","Transport, intercity bus, diesel powered, West North Central@Northern America","Transport, intercity bus, diesel powered@Transport, intercity bus, diesel powered, West North Central@Northern America",Northern America
"Transport, intercity bus, diesel powered, West","Transport, intercity bus, diesel powered, West@Northern America","Transport, intercity bus, diesel powered@Transport, intercity bus, diesel powered, West@Northern America",Northern America
"Transport, intercity bus, diesel powered","Transport, intercity bus, diesel powered@Northern America","Transport, intercity bus, diesel powered@Transport, intercity bus, diesel powered@Northern America",Northern America
"Transport, light commercial truck, diesel powered, Alaska","Transport, light commercial truck, diesel powered, Alaska@Northern America","Transport, light commercial truck, diesel powered@Transport, light commercial truck, diesel powered, Alaska@Northern America",Northern America
"Transport, light commercial truck, diesel powered, Central","Transport, light commercial truck, diesel powered, Central@Northern America","Transport, light commercial truck, diesel powered@Transport, light commercial truck, diesel powered, Central@Northern America",Northern America
"Transport, light commercial truck, diesel powered, East North Central","Transport, light commercial truck, diesel powered, East North Central@Northern America","Transport, light commercial truck, diesel powered@Transport, light commercial truck, diesel powered, East North Central@Northern America",Northern America
"Transport, light commercial truck, diesel powered, Hawaii","Transport, light commercial truck, diesel powered, Hawaii@Northern America","Transport, light commercial truck, diesel powered@Transport, light commercial truck, diesel powered, Hawaii@Northern America",Northern America
"Transport, light commercial truck, diesel powered, Northeast","Transport, light commercial truck, diesel powered, Northeast@Northern America","Transport, light commercial truck, diesel powered@Transport, light commercial truck, diesel powered, Northeast@Northern America",Northern America
"Transport, light commercial truck, diesel powered, Northwest","Transport, light commercial truck, diesel powered, Northwest@Northern America","Transport, light commercial truck, diesel powered@Transport, light commercial truck, diesel powered, Northwest@Northern America",Northern America
"Transport, light commercial truck, diesel powered, South","Transport, light commercial truck, diesel powered, South@Northern America","Transport, light commercial truck, diesel powered@Transport, light commercial truck, diesel powered, South@Northern America",Northern America
"Transport, light commercial truck, diesel powered, Southeast","Transport, light commercial truck, diesel powered, Southeast@Northern America","Transport, light commercial truck, diesel powered@Transport, light commercial truck, diesel powered, Southeast@Northern America",Northern America
"Transport, light commercial truck, diesel powered, Southwest","Transport, light commercial truck, diesel powered, Southwest@Northern America","Transport, light commercial truck, diesel powered@Transport, light commercial truck, diesel powered, Southwest@Northern America",Northern America
